member_casual,day_type,start_hour,total_rides,percent_of_rider_type_day_rides,average_ride_minutes
casual,Weekday,0,16572,1.38,15.65
casual,Weekday,1,9559,0.79,16.34
casual,Weekday,2,6221,0.52,15.38
casual,Weekday,3,3618,0.3,15.18
casual,Weekday,4,3911,0.33,12.09
casual,Weekday,5,8254,0.69,12.64
casual,Weekday,6,20429,1.7,11.57
casual,Weekday,7,38648,3.21,11.48
casual,Weekday,8,51359,4.27,13.08
casual,Weekday,9,40531,3.37,18.0
casual,Weekday,10,41662,3.46,23.34
casual,Weekday,11,53848,4.48,23.09
casual,Weekday,12,65751,5.46,21.78
casual,Weekday,13,67346,5.6,21.8
casual,Weekday,14,71891,5.97,21.58
casual,Weekday,15,85597,7.11,19.73
casual,Weekday,16,110049,9.15,18.19
casual,Weekday,17,132329,11.0,17.73
casual,Weekday,18,113180,9.41,17.6
casual,Weekday,19,83569,6.95,17.52
casual,Weekday,20,59639,4.96,16.88
casual,Weekday,21,50180,4.17,16.4
casual,Weekday,22,40238,3.34,16.52
casual,Weekday,23,28840,2.4,16.84
casual,Weekend,0,20190,2.83,16.9
casual,Weekend,1,13933,1.96,17.0
casual,Weekend,2,9446,1.33,17.02
casual,Weekend,3,5076,0.71,16.16
casual,Weekend,4,3030,0.43,16.98
casual,Weekend,5,2755,0.39,20.0
casual,Weekend,6,5267,0.74,20.69
casual,Weekend,7,9277,1.3,24.68
casual,Weekend,8,16651,2.34,22.11
casual,Weekend,9,27742,3.89,23.94
casual,Weekend,10,40787,5.72,24.74
casual,Weekend,11,51464,7.22,25.28
casual,Weekend,12,57960,8.13,24.79
casual,Weekend,13,59389,8.33,24.96
casual,Weekend,14,61348,8.61,24.63
casual,Weekend,15,62458,8.77,23.71
casual,Weekend,16,58740,8.24,23.04
casual,Weekend,17,50933,7.15,22.79
casual,Weekend,18,43740,6.14,21.33
casual,Weekend,19,32838,4.61,20.8
casual,Weekend,20,24163,3.39,19.89
casual,Weekend,21,21024,2.95,19.41
casual,Weekend,22,19743,2.77,18.42
casual,Weekend,23,14594,2.05,18.97
member,Weekday,0,14957,0.56,11.26
member,Weekday,1,8148,0.31,11.64
member,Weekday,2,4497,0.17,11.48
member,Weekday,3,3588,0.13,12.71
member,Weekday,4,5990,0.22,10.87
member,Weekday,5,29512,1.11,10.5
member,Weekday,6,89845,3.37,10.84
member,Weekday,7,180090,6.75,11.09
member,Weekday,8,223308,8.36,10.94
member,Weekday,9,122372,4.58,10.46
member,Weekday,10,87563,3.28,11.3
member,Weekday,11,103938,3.89,11.47
member,Weekday,12,123538,4.63,10.94
member,Weekday,13,118973,4.46,11.15
member,Weekday,14,121518,4.55,11.81
member,Weekday,15,169540,6.35,12.08
member,Weekday,16,265604,9.95,12.52
member,Weekday,17,316755,11.86,12.93
member,Weekday,18,236192,8.85,12.49
member,Weekday,19,159547,5.98,12.22
member,Weekday,20,108582,4.07,12.13
member,Weekday,21,83617,3.13,12.03
member,Weekday,22,57853,2.17,11.95
member,Weekday,23,34248,1.28,12.23
member,Weekend,0,16434,2.02,11.64
member,Weekend,1,10959,1.35,11.55
member,Weekend,2,6933,0.85,11.88
member,Weekend,3,3932,0.48,12.03
member,Weekend,4,2616,0.32,11.48
member,Weekend,5,4013,0.49,13.86
member,Weekend,6,9308,1.14,14.15
member,Weekend,7,16323,2.0,12.16
member,Weekend,8,28726,3.53,12.38
member,Weekend,9,41510,5.1,12.34
member,Weekend,10,53473,6.57,12.77
member,Weekend,11,61426,7.54,13.6
member,Weekend,12,63286,7.77,13.59
member,Weekend,13,62995,7.74,13.87
member,Weekend,14,63313,7.77,14.1
member,Weekend,15,63432,7.79,14.01
member,Weekend,16,63069,7.74,14.3
member,Weekend,17,58394,7.17,13.96
member,Weekend,18,53924,6.62,13.52
member,Weekend,19,40789,5.01,13.01
member,Weekend,20,29780,3.66,12.65
member,Weekend,21,24355,2.99,12.78
member,Weekend,22,20759,2.55,12.73
member,Weekend,23,14662,1.8,12.76